ID Empresa	CEP	Faturamento 2019 (R$)	Gestor da Empresa	Endereço
2	06386-000	119316	CAIO MENESES STABEL	CEP 06386-000 - Brazil
33	25036-200	9702	NÍCOLAS MIKIO ISIKI	CEP 25036-200 - Brazil
36	25235-000	99155	RODRIGO GREGOLIN GIANNOTTI	CEP 25235-000 - Brazil
46	25010-026	74498	CAIO MENESES STABEL	CEP 25010-026 - Brazil
77	04849-501	40051	NÍCOLAS MIKIO ISIKI	CEP 04849-501 - Brazil
80	04849-501	110252	RODRIGO GREGOLIN GIANNOTTI	CEP 04849-501 - Brazil
90	05210-020	99487	CAIO MENESES STABEL	CEP 05210-020 - Brazil
121	07180-190	44815	NÍCOLAS MIKIO ISIKI	CEP 07180-190 - Brazil
124	07181-080	29407	RODRIGO GREGOLIN GIANNOTTI	CEP 07181-080 - Brazil
134	07242-190	67992	CAIO MENESES STABEL	CEP 07242-190 - Brazil
165	92990-000	48110	NÍCOLAS MIKIO ISIKI	CEP 92990-000 - Brazil
168	08010-010	37041	RODRIGO GREGOLIN GIANNOTTI	CEP 08010-010 - Brazil
178	08090-555	56014	CAIO MENESES STABEL	CEP 08090-555 - Brazil
209	08372-110	45550	NÍCOLAS MIKIO ISIKI	CEP 08372-110 - Brazil
212	08257-010	38411	RODRIGO GREGOLIN GIANNOTTI	CEP 08257-010 - Brazil
222	94480-580	98121	CAIO MENESES STABEL	CEP 94480-580 - Brazil
253	03009-010	4180	NÍCOLAS MIKIO ISIKI	CEP 03009-010 - Brazil
256	01004-000	123254	RODRIGO GREGOLIN GIANNOTTI	CEP 01004-000 - Brazil
266	01127-000	86722	CAIO MENESES STABEL	CEP 01127-000 - Brazil
297	02873-000	105388	NÍCOLAS MIKIO ISIKI	CEP 02873-000 - Brazil
300	02877-040	101179	RODRIGO GREGOLIN GIANNOTTI	CEP 02877-040 - Brazil
310	02010-040	105145	CAIO MENESES STABEL	CEP 02010-040 - Brazil
341	08410-030	120421	NÍCOLAS MIKIO ISIKI	CEP 08410-030 - Brazil
344	08451-420	8239	RODRIGO GREGOLIN GIANNOTTI	CEP 08451-420 - Brazil
354	08563-010	26081	CAIO MENESES STABEL	CEP 08563-010 - Brazil
385	24421-005	81757	NÍCOLAS MIKIO ISIKI	CEP 24421-005 - Brazil
388	24436-000	32022	RODRIGO GREGOLIN GIANNOTTI	CEP 24436-000 - Brazil
398	24715-570	82378	CAIO MENESES STABEL	CEP 24715-570 - Brazil
429	09792-240	120526	NÍCOLAS MIKIO ISIKI	CEP 09792-240 - Brazil
432	09783-210	2732	RODRIGO GREGOLIN GIANNOTTI	CEP 09783-210 - Brazil
442	09830-140	42425	CAIO MENESES STABEL	CEP 09830-140 - Brazil
473	08191-300	38798	NÍCOLAS MIKIO ISIKI	CEP 08191-300 - Brazil
476	08180-370	50668	RODRIGO GREGOLIN GIANNOTTI	CEP 08180-370 - Brazil
486	08160-700	60361	CAIO MENESES STABEL	CEP 08160-700 - Brazil
517	06856-800	57760	NÍCOLAS MIKIO ISIKI	CEP 06856-800 - Brazil
520	04930-080	87130	RODRIGO GREGOLIN GIANNOTTI	CEP 04930-080 - Brazil
530	04950-000	72594	CAIO MENESES STABEL	CEP 04950-000 - Brazil
561	27953-260	98792	NÍCOLAS MIKIO ISIKI	CEP 27953-260 - Brazil
564	11430-000	129474	RODRIGO GREGOLIN GIANNOTTI	CEP 11430-000 - Brazil
574	26299-240	61043	CAIO MENESES STABEL	CEP 26299-240 - Brazil
605	25555-240	94411	NÍCOLAS MIKIO ISIKI	CEP 25555-240 - Brazil
